Title,Sumary,Sumary Length,Sections Length,Text Length,Word Count,Language Count,Pageviews
"Válber (footballer, born 1981)","Válber Mendes Ferreira or simply Válber (born September 22, 1981 in São Luís), is a Brazilian attack",115,2,383,54,5,"{'2023-10-24': 0, '2023-10-25': 0, '2023-10-26': 0, '2023-10-27': None, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': 1, '2023-10-31': None, '2023-11-01': 0, '2023-11-02': None, '2023-11-03': 0, '2023-11-04': 1, '2023-11-05': None, '2023-11-06': 0, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': None, '2023-11-11': 1, '2023-11-12': 0, '2023-11-13': None, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 1, '2023-11-18': 1, '2023-11-19': 0, '2023-11-20': 1, '2023-11-21': None, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': 0, '2023-11-26': 0, '2023-11-27': None, '2023-11-28': None, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': None, '2023-12-02': None, '2023-12-03': 1, '2023-12-04': 0, '2023-12-05': 1, '2023-12-06': 0, '2023-12-07': None, '2023-12-08': 0, '2023-12-09': None, '2023-12-10': 0, '2023-12-11': 0, '2023-12-12': 0, '2023-12-13': 0, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 1, '2023-12-18': None, '2023-12-19': 1, '2023-12-20': None, '2023-12-21': 0, '2023-12-22': 0}"
Agogo Presbyterian College of Education,Agogo Presbyterian College of Education is a teacher education college in Agogo (Asante-Akim North M,492,1,2538,383,1,"{'2023-10-24': 3, '2023-10-25': 2, '2023-10-26': 1, '2023-10-27': 2, '2023-10-28': 1, '2023-10-29': None, '2023-10-30': 2, '2023-10-31': 3, '2023-11-01': 3, '2023-11-02': 5, '2023-11-03': 3, '2023-11-04': 1, '2023-11-05': 3, '2023-11-06': None, '2023-11-07': 3, '2023-11-08': 0, '2023-11-09': 2, '2023-11-10': 4, '2023-11-11': 0, '2023-11-12': 1, '2023-11-13': 2, '2023-11-14': 0, '2023-11-15': 3, '2023-11-16': 2, '2023-11-17': 1, '2023-11-18': None, '2023-11-19': 2, '2023-11-20': 3, '2023-11-21': 1, '2023-11-22': 7, '2023-11-23': 1, '2023-11-24': 1, '2023-11-25': 2, '2023-11-26': 0, '2023-11-27': 4, '2023-11-28': 0, '2023-11-29': 5, '2023-11-30': 0, '2023-12-01': 2, '2023-12-02': 2, '2023-12-03': 3, '2023-12-04': 8, '2023-12-05': 1, '2023-12-06': 3, '2023-12-07': 2, '2023-12-08': 2, '2023-12-09': 6, '2023-12-10': 1, '2023-12-11': 6, '2023-12-12': 18, '2023-12-13': 6, '2023-12-14': 7, '2023-12-15': 2, '2023-12-16': 4, '2023-12-17': 0, '2023-12-18': 5, '2023-12-19': 3, '2023-12-20': 5, '2023-12-21': 5, '2023-12-22': 7}"
Macara pasaleuca,Macara pasaleuca is a moth of the family Megalopygidae. It was described by Peter Maassen in 1899. I,142,0,142,25,3,"{'2023-10-24': None, '2023-10-25': 0, '2023-10-26': None, '2023-10-27': None, '2023-10-28': None, '2023-10-29': None, '2023-10-30': None, '2023-10-31': 0, '2023-11-01': 0, '2023-11-02': None, '2023-11-03': None, '2023-11-04': 0, '2023-11-05': None, '2023-11-06': None, '2023-11-07': None, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': None, '2023-11-11': None, '2023-11-12': None, '2023-11-13': None, '2023-11-14': None, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': None, '2023-11-18': 0, '2023-11-19': 0, '2023-11-20': 1, '2023-11-21': None, '2023-11-22': 2, '2023-11-23': None, '2023-11-24': 0, '2023-11-25': None, '2023-11-26': 0, '2023-11-27': None, '2023-11-28': 0, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': None, '2023-12-02': None, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': None, '2023-12-06': 0, '2023-12-07': None, '2023-12-08': 0, '2023-12-09': None, '2023-12-10': None, '2023-12-11': 0, '2023-12-12': 0, '2023-12-13': None, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': None, '2023-12-18': None, '2023-12-19': None, '2023-12-20': None, '2023-12-21': 0, '2023-12-22': None}"
Majhariya,Majhariya is a village and Village Development Committee  in Bara District in the Narayani Zone of s,230,2,303,49,7,"{'2023-10-24': None, '2023-10-25': 0, '2023-10-26': 0, '2023-10-27': 1, '2023-10-28': 1, '2023-10-29': 0, '2023-10-30': None, '2023-10-31': None, '2023-11-01': 1, '2023-11-02': 0, '2023-11-03': None, '2023-11-04': 0, '2023-11-05': None, '2023-11-06': None, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 1, '2023-11-10': 0, '2023-11-11': None, '2023-11-12': 0, '2023-11-13': 0, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': None, '2023-11-18': 2, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': None, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 2, '2023-11-25': None, '2023-11-26': 0, '2023-11-27': None, '2023-11-28': 0, '2023-11-29': 2, '2023-11-30': None, '2023-12-01': 1, '2023-12-02': 3, '2023-12-03': None, '2023-12-04': 0, '2023-12-05': 1, '2023-12-06': None, '2023-12-07': 0, '2023-12-08': 0, '2023-12-09': 0, '2023-12-10': 0, '2023-12-11': 2, '2023-12-12': None, '2023-12-13': None, '2023-12-14': 0, '2023-12-15': 2, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': None, '2023-12-20': None, '2023-12-21': None, '2023-12-22': None}"
India national football team records and statistics,"The following is a list of the India national football team's competitive records and statistics.
Th",1861,7,3629,577,1,"{'2023-10-24': 60, '2023-10-25': 66, '2023-10-26': 40, '2023-10-27': 55, '2023-10-28': 57, '2023-10-29': 91, '2023-10-30': 65, '2023-10-31': 72, '2023-11-01': 101, '2023-11-02': 81, '2023-11-03': 58, '2023-11-04': 59, '2023-11-05': 57, '2023-11-06': 54, '2023-11-07': 59, '2023-11-08': 66, '2023-11-09': 76, '2023-11-10': 58, '2023-11-11': 67, '2023-11-12': 51, '2023-11-13': 88, '2023-11-14': 69, '2023-11-15': 76, '2023-11-16': 271, '2023-11-17': 330, '2023-11-18': 202, '2023-11-19': 235, '2023-11-20': 304, '2023-11-21': 593, '2023-11-22': 243, '2023-11-23': 133, '2023-11-24': 135, '2023-11-25': 110, '2023-11-26': 129, '2023-11-27': 110, '2023-11-28': 86, '2023-11-29': 72, '2023-11-30': 98, '2023-12-01': 71, '2023-12-02': 67, '2023-12-03': 64, '2023-12-04': 74, '2023-12-05': 59, '2023-12-06': 57, '2023-12-07': 83, '2023-12-08': 65, '2023-12-09': 90, '2023-12-10': 72, '2023-12-11': 63, '2023-12-12': 56, '2023-12-13': 68, '2023-12-14': 48, '2023-12-15': 58, '2023-12-16': 81, '2023-12-17': 77, '2023-12-18': 53, '2023-12-19': 53, '2023-12-20': 36, '2023-12-21': 38, '2023-12-22': 71}"
Iakovos Kambanellis,"Iakovos Kambanellis (Greek: Ιάκωβος Καμπανέλλης; 2 December 1921 – 29 March 2011) was a Greek poet, ",149,6,2822,451,13,"{'2023-10-24': 12, '2023-10-25': 12, '2023-10-26': 8, '2023-10-27': 12, '2023-10-28': 9, '2023-10-29': 9, '2023-10-30': 20, '2023-10-31': 1, '2023-11-01': 8, '2023-11-02': 12, '2023-11-03': 10, '2023-11-04': 9, '2023-11-05': 8, '2023-11-06': 5, '2023-11-07': 6, '2023-11-08': 15, '2023-11-09': 4, '2023-11-10': 9, '2023-11-11': 12, '2023-11-12': 6, '2023-11-13': 6, '2023-11-14': 6, '2023-11-15': 7, '2023-11-16': 13, '2023-11-17': 8, '2023-11-18': 11, '2023-11-19': 16, '2023-11-20': 13, '2023-11-21': 12, '2023-11-22': 4, '2023-11-23': 8, '2023-11-24': 6, '2023-11-25': 21, '2023-11-26': 9, '2023-11-27': 15, '2023-11-28': 10, '2023-11-29': 7, '2023-11-30': 7, '2023-12-01': 14, '2023-12-02': 19, '2023-12-03': 8, '2023-12-04': 11, '2023-12-05': 7, '2023-12-06': 11, '2023-12-07': 6, '2023-12-08': 3, '2023-12-09': 11, '2023-12-10': 7, '2023-12-11': 11, '2023-12-12': 7, '2023-12-13': 10, '2023-12-14': 8, '2023-12-15': 13, '2023-12-16': 8, '2023-12-17': 13, '2023-12-18': 2, '2023-12-19': 15, '2023-12-20': 9, '2023-12-21': 5, '2023-12-22': 14}"
Nickelodeon Australian Kids' Choice Awards 2009,The 7th annual Australian Nickelodeon Kids' Choice Awards was held on 13 November 2009 at the Hisens,796,5,2882,455,1,"{'2023-10-24': 0, '2023-10-25': 2, '2023-10-26': 4, '2023-10-27': 3, '2023-10-28': 4, '2023-10-29': 2, '2023-10-30': 0, '2023-10-31': 0, '2023-11-01': 3, '2023-11-02': 2, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': 2, '2023-11-06': 2, '2023-11-07': 4, '2023-11-08': 1, '2023-11-09': 4, '2023-11-10': 6, '2023-11-11': 1, '2023-11-12': 5, '2023-11-13': 1, '2023-11-14': 0, '2023-11-15': 2, '2023-11-16': 6, '2023-11-17': 5, '2023-11-18': 0, '2023-11-19': 3, '2023-11-20': 3, '2023-11-21': 1, '2023-11-22': 2, '2023-11-23': 0, '2023-11-24': 3, '2023-11-25': 3, '2023-11-26': 1, '2023-11-27': 0, '2023-11-28': 1, '2023-11-29': 5, '2023-11-30': 5, '2023-12-01': 0, '2023-12-02': 1, '2023-12-03': 2, '2023-12-04': 0, '2023-12-05': 2, '2023-12-06': 1, '2023-12-07': 2, '2023-12-08': 1, '2023-12-09': 3, '2023-12-10': 4, '2023-12-11': 2, '2023-12-12': 3, '2023-12-13': 2, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 2, '2023-12-17': 6, '2023-12-18': 1, '2023-12-19': 1, '2023-12-20': 2, '2023-12-21': 0, '2023-12-22': 0}"
Paramalungia,"Paramalungia is an extinct genus from a well-known class of fossil marine arthropods, the trilobites",289,0,289,47,1,"{'2023-10-24': None, '2023-10-25': None, '2023-10-26': None, '2023-10-27': None, '2023-10-28': None, '2023-10-29': 0, '2023-10-30': None, '2023-10-31': None, '2023-11-01': None, '2023-11-02': None, '2023-11-03': None, '2023-11-04': None, '2023-11-05': 0, '2023-11-06': None, '2023-11-07': None, '2023-11-08': None, '2023-11-09': 0, '2023-11-10': 0, '2023-11-11': None, '2023-11-12': None, '2023-11-13': None, '2023-11-14': None, '2023-11-15': 0, '2023-11-16': None, '2023-11-17': None, '2023-11-18': 0, '2023-11-19': 0, '2023-11-20': None, '2023-11-21': None, '2023-11-22': 0, '2023-11-23': None, '2023-11-24': 0, '2023-11-25': 0, '2023-11-26': 0, '2023-11-27': None, '2023-11-28': 0, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': 2, '2023-12-03': None, '2023-12-04': 0, '2023-12-05': None, '2023-12-06': None, '2023-12-07': 2, '2023-12-08': None, '2023-12-09': 0, '2023-12-10': None, '2023-12-11': 0, '2023-12-12': 0, '2023-12-13': 0, '2023-12-14': None, '2023-12-15': 1, '2023-12-16': None, '2023-12-17': None, '2023-12-18': 0, '2023-12-19': None, '2023-12-20': 0, '2023-12-21': 0, '2023-12-22': None}"
"Mikazuki, Hyōgo","Mikazuki (三日月町, Mikazuki-chō) was a town located in Sayō District, Hyōgo Prefecture, Japan.
As of 20",359,1,413,70,4,"{'2023-10-24': None, '2023-10-25': 2, '2023-10-26': None, '2023-10-27': 1, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': None, '2023-10-31': 0, '2023-11-01': 1, '2023-11-02': 0, '2023-11-03': 2, '2023-11-04': None, '2023-11-05': 1, '2023-11-06': 2, '2023-11-07': 1, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': None, '2023-11-11': 1, '2023-11-12': 1, '2023-11-13': 2, '2023-11-14': 1, '2023-11-15': 0, '2023-11-16': 3, '2023-11-17': 0, '2023-11-18': 0, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 1, '2023-11-24': 0, '2023-11-25': 0, '2023-11-26': 2, '2023-11-27': 0, '2023-11-28': 0, '2023-11-29': 2, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': 1, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': 0, '2023-12-07': None, '2023-12-08': None, '2023-12-09': None, '2023-12-10': 1, '2023-12-11': 0, '2023-12-12': 0, '2023-12-13': 1, '2023-12-14': 0, '2023-12-15': 1, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': None, '2023-12-19': None, '2023-12-20': 0, '2023-12-21': 1, '2023-12-22': 3}"
Sudoku graph,"In the mathematics of Sudoku, the Sudoku graph is an undirected graph whose vertices represent the c",363,4,5601,566,4,"{'2023-10-24': 5, '2023-10-25': 7, '2023-10-26': 5, '2023-10-27': 6, '2023-10-28': 9, '2023-10-29': 9, '2023-10-30': 7, '2023-10-31': 5, '2023-11-01': 9, '2023-11-02': 14, '2023-11-03': 5, '2023-11-04': 5, '2023-11-05': 12, '2023-11-06': 10, '2023-11-07': 11, '2023-11-08': 13, '2023-11-09': 12, '2023-11-10': 5, '2023-11-11': 2, '2023-11-12': 2, '2023-11-13': 19, '2023-11-14': 18, '2023-11-15': 11, '2023-11-16': 6, '2023-11-17': 8, '2023-11-18': 8, '2023-11-19': 14, '2023-11-20': 10, '2023-11-21': 5, '2023-11-22': 12, '2023-11-23': 13, '2023-11-24': 20, '2023-11-25': 6, '2023-11-26': 22, '2023-11-27': 12, '2023-11-28': 10, '2023-11-29': 14, '2023-11-30': 18, '2023-12-01': 15, '2023-12-02': 22, '2023-12-03': 12, '2023-12-04': 13, '2023-12-05': 19, '2023-12-06': 10, '2023-12-07': 17, '2023-12-08': 10, '2023-12-09': 6, '2023-12-10': 8, '2023-12-11': 11, '2023-12-12': 7, '2023-12-13': 11, '2023-12-14': 21, '2023-12-15': 5, '2023-12-16': 15, '2023-12-17': 3, '2023-12-18': 18, '2023-12-19': 21, '2023-12-20': 7, '2023-12-21': 9, '2023-12-22': 13}"
